protein_id	hit_rows
FUN_020551-T1	54
FUN_003873-T1	54
FUN_016250-T1	54
FUN_001489-T1	54
FUN_006516-T1	54
FUN_001354-T1	54
FUN_013594-T1	53
FUN_007937-T1	53
FUN_002743-T1	53
FUN_002734-T1	53
FUN_018572-T1	53
FUN_004393-T1	53
FUN_003852-T1	53
FUN_014772-T1	52
FUN_003473-T1	52
FUN_001155-T1	52
FUN_013026-T1	52
FUN_001708-T1	52
FUN_004105-T1	52
FUN_004449-T1	52
FUN_015468-T1	52
FUN_001811-T1	52
FUN_000930-T1	51
FUN_010649-T1	51
FUN_001572-T1	51
FUN_001581-T1	51
FUN_019552-T1	51
FUN_013476-T1	51
FUN_000104-T1	51
FUN_018998-T1	51
FUN_000166-T1	50
FUN_006400-T1	50
FUN_006748-T1	50
FUN_005184-T1	50
FUN_004477-T1	50
FUN_018125-T1	50
FUN_020296-T1	50
FUN_002394-T1	50
FUN_007159-T1	50
FUN_000415-T1	50
FUN_001834-T1	50
FUN_003249-T1	49
FUN_021318-T1	49
FUN_013333-T1	49
FUN_013646-T1	49
FUN_013017-T1	49
FUN_002405-T1	49
FUN_003024-T1	49
FUN_014844-T1	49
FUN_017956-T1	49
FUN_006679-T1	49
FUN_003088-T1	49
FUN_013125-T1	49
FUN_001835-T1	49
FUN_004844-T1	49
FUN_004297-T1	49
FUN_002144-T1	48
FUN_012055-T1	48
FUN_019944-T1	48
FUN_003608-T1	48
FUN_004383-T1	48
FUN_010353-T1	48
FUN_016942-T1	47
FUN_012615-T1	47
FUN_003674-T1	47
FUN_007935-T1	47
FUN_002248-T1	47
FUN_004062-T1	47
FUN_015632-T1	47
FUN_010289-T1	47
FUN_005518-T1	47
FUN_017923-T1	47
FUN_017700-T1	47
FUN_012329-T1	47
FUN_000570-T1	47
FUN_020999-T1	47
FUN_003092-T1	46
FUN_005516-T1	46
FUN_000646-T1	46
FUN_005873-T1	46
FUN_004468-T1	46
FUN_001894-T1	46
FUN_004068-T1	46
FUN_002166-T1	46
FUN_001808-T1	46
FUN_011135-T1	46
FUN_000994-T1	46
FUN_000329-T1	46
FUN_000742-T1	46
FUN_020375-T1	46
FUN_013052-T1	46
FUN_014677-T1	46
FUN_001040-T1	46
FUN_003194-T1	46
FUN_001927-T1	46
FUN_000393-T1	45
FUN_012243-T1	45
FUN_018224-T1	45
FUN_008714-T1	45
FUN_005334-T1	45
FUN_001790-T1	45
FUN_002354-T1	45
FUN_014231-T1	45
FUN_013342-T1	45
FUN_000324-T1	45
FUN_002493-T1	45
FUN_003759-T1	45
FUN_003788-T1	45
FUN_001037-T1	45
FUN_002204-T1	45
FUN_002336-T1	45
FUN_013685-T1	45
FUN_007078-T1	45
FUN_001378-T1	45
FUN_001267-T1	45
FUN_019435-T1	45
FUN_019022-T1	45
FUN_003017-T1	45
FUN_001265-T1	44
FUN_019357-T1	44
FUN_018013-T1	44
FUN_009050-T1	44
FUN_006557-T1	44
FUN_002906-T1	44
FUN_019003-T1	44
FUN_001562-T1	44
FUN_003173-T1	44
FUN_015540-T1	44
FUN_001211-T1	44
FUN_019988-T1	44
FUN_019892-T1	44
FUN_001210-T1	44
FUN_017810-T1	44
FUN_008389-T1	44
FUN_010367-T1	44
FUN_000786-T1	44
FUN_017328-T1	44
FUN_012308-T1	44
FUN_020149-T1	44
FUN_002162-T1	44
FUN_010835-T1	44
FUN_003630-T1	44
FUN_001875-T1	43
FUN_001878-T1	43
FUN_011229-T1	43
FUN_001793-T1	43
FUN_020603-T1	43
FUN_021053-T1	43
FUN_003257-T1	43
FUN_011421-T1	43
FUN_014658-T1	43
FUN_002751-T1	43
FUN_019095-T1	43
FUN_019101-T1	43
FUN_001273-T1	43
FUN_002670-T1	43
FUN_000426-T1	43
FUN_005966-T1	43
FUN_002649-T1	42
FUN_019250-T1	42
FUN_019356-T1	42
FUN_015366-T1	42
FUN_006632-T1	42
FUN_001881-T1	42
FUN_002894-T1	42
FUN_002843-T1	42
FUN_004445-T1	42
FUN_001136-T1	42
FUN_014547-T1	42
FUN_021206-T1	42
FUN_001044-T1	42
FUN_019761-T1	42
FUN_002420-T1	42
FUN_002456-T1	42
FUN_020047-T1	42
FUN_020005-T1	42
FUN_007920-T1	42
FUN_003607-T1	42
FUN_019828-T1	42
FUN_011405-T1	42
FUN_001659-T1	42
FUN_001653-T1	42
FUN_002200-T1	42
FUN_020308-T1	42
FUN_004088-T1	42
FUN_008327-T1	42
FUN_004902-T1	42
FUN_004064-T1	42
FUN_020433-T1	42
FUN_004371-T1	42
FUN_012747-T1	41
FUN_009229-T1	41
FUN_003615-T1	41
FUN_003670-T1	41
FUN_021474-T1	41
FUN_006063-T1	41
FUN_003905-T1	41
FUN_003619-T1	41
FUN_003914-T1	41
FUN_008353-T1	41
FUN_013433-T1	41
FUN_000782-T1	41
FUN_017749-T1	41
FUN_004223-T1	41
FUN_004208-T1	41
FUN_007162-T1	41
FUN_019489-T1	41
FUN_004857-T1	41
FUN_015244-T1	41
FUN_019598-T1	41
FUN_002936-T1	41
FUN_015457-T1	41
FUN_002480-T1	41
FUN_001720-T1	41
FUN_004431-T1	41
FUN_005656-T1	41
FUN_017033-T1	41
FUN_002389-T1	41
FUN_020956-T1	41
FUN_020965-T1	41
FUN_008875-T1	41
FUN_000566-T1	41
FUN_000612-T1	41
FUN_002829-T1	41
FUN_004323-T1	41
FUN_002924-T1	41
FUN_009201-T1	41
FUN_003694-T1	40
FUN_017942-T1	40
FUN_009912-T1	40
FUN_001043-T1	40
FUN_001133-T1	40
FUN_015597-T1	40
FUN_002975-T1	40
FUN_003505-T1	40
FUN_019831-T1	40
FUN_020234-T1	40
FUN_003631-T1	40
FUN_013591-T1	40
FUN_020292-T1	40
FUN_013826-T1	40
FUN_003468-T1	40
FUN_017635-T1	40
FUN_001515-T1	40
FUN_016538-T1	40
FUN_006470-T1	40
FUN_004278-T1	40
FUN_015812-T1	40
FUN_019178-T1	40
FUN_002807-T1	40
FUN_016616-T1	40
FUN_018568-T1	40
FUN_002235-T1	40
FUN_018555-T1	40
FUN_001693-T1	40
FUN_008070-T1	40
FUN_008087-T1	40
FUN_000009-T1	40
FUN_003672-T1	39
FUN_008132-T1	39
FUN_000357-T1	39
FUN_003666-T1	39
FUN_011768-T1	39
FUN_009583-T1	39
FUN_004471-T1	39
FUN_003570-T1	39
FUN_002318-T1	39
FUN_003917-T1	39
FUN_013304-T1	39
FUN_002426-T1	39
FUN_002427-T1	39
FUN_003947-T1	39
FUN_005935-T1	39
FUN_018056-T1	39
FUN_003702-T1	39
FUN_006617-T1	39
FUN_007024-T1	39
FUN_001885-T1	39
FUN_009217-T1	39
FUN_003334-T1	39
FUN_014550-T1	39
FUN_017578-T1	39
FUN_003494-T1	39
FUN_020597-T1	39
FUN_002433-T1	39
FUN_005906-T1	39
FUN_001241-T1	39
FUN_001069-T1	38
FUN_017741-T1	38
FUN_001783-T1	38
FUN_017518-T1	38
FUN_000347-T1	38
FUN_000991-T1	38
FUN_002535-T1	38
FUN_017766-T1	38
FUN_001677-T1	38
FUN_018629-T1	38
FUN_002310-T1	38
FUN_013313-T1	38
FUN_004983-T1	38
FUN_011988-T1	38
FUN_000582-T1	38
FUN_005844-T1	38
FUN_020909-T1	38
FUN_019151-T1	38
FUN_009499-T1	38
FUN_002978-T1	38
FUN_003133-T1	38
FUN_000477-T1	38
FUN_014015-T1	38
FUN_001070-T1	38
FUN_002560-T1	38
FUN_003218-T1	38
FUN_003362-T1	38
FUN_000721-T1	38
FUN_009114-T1	38
FUN_004924-T1	38
FUN_018950-T1	38
FUN_004349-T1	38
FUN_006430-T1	38
FUN_006636-T1	38
FUN_003098-T1	38
FUN_013555-T1	37
FUN_000793-T1	37
FUN_018589-T1	37
FUN_013056-T1	37
FUN_000340-T1	37
FUN_020233-T1	37
FUN_017836-T1	37
FUN_001999-T1	37
FUN_000882-T1	37
FUN_003733-T1	37
FUN_012962-T1	37
FUN_016742-T1	37
FUN_001771-T1	37
FUN_020874-T1	37
FUN_004551-T1	37
FUN_007786-T1	37
FUN_000720-T1	37
FUN_002602-T1	37
FUN_000575-T1	37
FUN_003455-T1	37
FUN_001019-T1	37
FUN_003431-T1	37
FUN_008165-T1	37
FUN_010416-T1	37
FUN_004117-T1	37
FUN_019602-T1	37
FUN_000123-T1	37
FUN_000392-T1	37
FUN_001196-T1	37
FUN_017687-T1	37
FUN_002170-T1	37
FUN_010775-T1	37
FUN_015514-T1	37
FUN_015170-T1	37
FUN_015370-T1	37
FUN_008638-T1	37
FUN_001261-T1	37
FUN_001460-T1	37
FUN_001749-T1	37
FUN_012332-T1	37
FUN_015760-T1	37
FUN_001948-T1	37
FUN_005495-T1	37
FUN_020031-T1	36
FUN_003841-T1	36
FUN_010896-T1	36
FUN_004283-T1	36
FUN_021263-T1	36
FUN_017702-T1	36
FUN_001228-T1	36
FUN_001232-T1	36
FUN_001425-T1	36
FUN_001521-T1	36
FUN_001485-T1	36
FUN_011330-T1	36
FUN_003203-T1	36
FUN_015019-T1	36
FUN_016419-T1	36
FUN_020476-T1	36
FUN_017651-T1	36
FUN_002741-T1	36
FUN_003319-T1	36
FUN_014585-T1	36
FUN_021313-T1	36
FUN_007784-T1	36
FUN_013339-T1	36
FUN_000985-T1	36
FUN_017112-T1	36
FUN_008009-T1	36
FUN_012038-T1	36
FUN_017532-T1	36
FUN_000469-T1	36
FUN_003462-T1	36
FUN_017928-T1	36
FUN_018159-T1	36
FUN_001810-T1	36
FUN_000859-T1	36
FUN_021065-T1	36
FUN_002130-T1	36
FUN_003857-T1	36
FUN_003272-T1	36
FUN_003439-T1	36
FUN_001787-T1	36
FUN_005077-T1	36
FUN_016265-T1	35
FUN_017653-T1	35
FUN_018272-T1	35
FUN_018265-T1	35
FUN_020542-T1	35
FUN_002703-T1	35
FUN_004307-T1	35
FUN_019291-T1	35
FUN_005771-T1	35
FUN_006614-T1	35
FUN_001372-T1	35
FUN_006606-T1	35
FUN_011422-T1	35
FUN_021308-T1	35
FUN_021146-T1	35
FUN_003360-T1	35
FUN_021020-T1	35
FUN_003504-T1	35
FUN_009870-T1	35
FUN_009183-T1	35
FUN_010124-T1	35
FUN_003815-T1	35
FUN_012154-T1	35
FUN_002820-T1	35
FUN_021011-T1	35
FUN_000381-T1	35
FUN_010601-T1	35
FUN_014765-T1	35
FUN_001738-T1	35
FUN_000004-T1	35
FUN_018089-T1	35
FUN_003731-T1	35
FUN_017940-T1	35
FUN_019999-T1	35
FUN_021095-T1	35
FUN_001968-T1	35
FUN_018616-T1	35
FUN_002353-T1	35
FUN_003620-T1	35
FUN_003661-T1	35
FUN_009218-T1	35
FUN_017794-T1	35
FUN_001960-T1	35
FUN_007644-T1	35
FUN_014793-T1	34
FUN_015355-T1	34
FUN_019061-T1	34
FUN_002963-T1	34
FUN_010882-T1	34
FUN_008888-T1	34
FUN_010010-T1	34
FUN_014683-T1	34
FUN_001804-T1	34
FUN_018198-T1	34
FUN_001553-T1	34
FUN_002517-T1	34
FUN_008233-T1	34
FUN_018675-T1	34
FUN_013759-T1	34
FUN_010165-T1	34
FUN_020305-T1	34
FUN_017047-T1	34
FUN_012731-T1	34
FUN_000835-T1	34
FUN_007089-T1	34
FUN_001343-T1	34
FUN_020491-T1	34
FUN_000672-T1	34
FUN_003223-T1	34
FUN_001247-T1	34
FUN_003134-T1	34
FUN_004837-T1	34
FUN_009212-T1	34
FUN_002812-T1	34
FUN_003831-T1	34
FUN_000839-T1	34
FUN_003616-T1	34
FUN_020215-T1	34
FUN_002278-T1	34
FUN_018148-T1	34
FUN_001813-T1	34
FUN_003667-T1	34
FUN_012218-T1	34
FUN_003274-T1	34
FUN_003456-T1	34
FUN_004369-T1	34
FUN_011414-T1	34
FUN_004167-T1	34
FUN_013794-T1	34
FUN_011684-T1	34
FUN_001087-T1	34
FUN_012074-T1	33
FUN_000893-T1	33
FUN_009282-T1	33
FUN_014559-T1	33
FUN_014433-T1	33
FUN_001547-T1	33
FUN_000684-T1	33
FUN_011668-T1	33
FUN_019704-T1	33
FUN_002300-T1	33
FUN_000323-T1	33
FUN_003539-T1	33
FUN_007757-T1	33
FUN_017083-T1	33
FUN_003587-T1	33
FUN_003599-T1	33
FUN_001006-T1	33
FUN_019923-T1	33
FUN_019106-T1	33
FUN_011191-T1	33
FUN_002960-T1	33
FUN_001466-T1	33
FUN_016283-T1	33
FUN_018991-T1	33
FUN_001346-T1	33
FUN_017965-T1	33
FUN_005552-T1	33
FUN_010931-T1	33
FUN_015606-T1	33
FUN_004305-T1	33
FUN_015770-T1	33
FUN_000431-T1	33
FUN_012186-T1	33
FUN_005116-T1	33
FUN_003238-T1	33
FUN_010543-T1	33
FUN_019418-T1	33
FUN_002600-T1	33
FUN_005237-T1	33
FUN_002697-T1	33
FUN_016241-T1	33
FUN_020946-T1	33
FUN_002434-T1	33
FUN_006093-T1	33
FUN_000370-T1	33
FUN_016743-T1	33
FUN_001794-T1	33
FUN_002532-T1	33
FUN_000070-T1	33
FUN_001692-T1	33
FUN_006442-T1	32
FUN_014634-T1	32
FUN_011377-T1	32
FUN_020418-T1	32
FUN_003195-T1	32
FUN_014689-T1	32
FUN_003193-T1	32
FUN_000407-T1	32
FUN_002184-T1	32
FUN_002980-T1	32
FUN_011111-T1	32
FUN_002965-T1	32
FUN_004233-T1	32
FUN_003049-T1	32
FUN_015448-T1	32
FUN_020840-T1	32
FUN_002647-T1	32
FUN_005727-T1	32
FUN_000916-T1	32
FUN_020055-T1	32
FUN_020927-T1	32
FUN_020130-T1	32
FUN_019079-T1	32
FUN_016085-T1	32
FUN_000589-T1	32
FUN_004334-T1	32
FUN_007090-T1	32
FUN_006706-T1	32
FUN_006779-T1	32
FUN_015670-T1	32
FUN_017652-T1	32
FUN_001916-T1	32
FUN_016585-T1	32
FUN_001009-T1	32
FUN_017750-T1	32
FUN_000101-T1	32
FUN_006291-T1	32
FUN_008141-T1	32
FUN_002421-T1	32
FUN_019754-T1	32
FUN_021372-T1	32
FUN_001076-T1	32
FUN_000744-T1	32
FUN_018848-T1	32
FUN_020579-T1	32
FUN_009873-T1	32
FUN_001711-T1	32
FUN_011384-T1	32
FUN_013773-T1	32
FUN_002149-T1	32
FUN_002533-T1	32
FUN_000779-T1	32
FUN_019863-T1	32
FUN_010192-T1	32
FUN_017311-T1	32
FUN_012029-T1	32
FUN_013281-T1	32
FUN_012211-T1	32
FUN_012204-T1	32
FUN_001949-T1	32
FUN_007934-T1	32
FUN_017401-T1	32
FUN_020206-T1	32
FUN_015033-T1	31
FUN_003209-T1	31
FUN_011141-T1	31
FUN_020422-T1	31
FUN_015043-T1	31
FUN_017778-T1	31
FUN_009298-T1	31
FUN_001833-T1	31
FUN_005463-T1	31
FUN_014619-T1	31
FUN_000179-T1	31
FUN_014437-T1	31
FUN_020424-T1	31
FUN_020427-T1	31
FUN_011476-T1	31
FUN_007497-T1	31
FUN_006670-T1	31
FUN_012323-T1	31
FUN_009564-T1	31
FUN_004128-T1	31
FUN_000732-T1	31
FUN_001381-T1	31
FUN_021278-T1	31
FUN_000606-T1	31
FUN_014072-T1	31
FUN_001417-T1	31
FUN_016216-T1	31
FUN_002687-T1	31
FUN_018960-T1	31
FUN_016396-T1	31
FUN_004367-T1	31
FUN_010500-T1	31
FUN_010561-T1	31
FUN_011588-T1	31
FUN_002638-T1	31
FUN_017658-T1	31
FUN_002180-T1	31
FUN_018268-T1	31
FUN_003467-T1	31
FUN_016597-T1	31
FUN_010398-T1	31
FUN_013562-T1	31
FUN_016739-T1	31
FUN_001571-T1	31
FUN_001577-T1	31
FUN_016946-T1	31
FUN_018726-T1	31
FUN_002422-T1	31
FUN_021322-T1	31
FUN_000111-T1	31
FUN_021117-T1	31
FUN_003669-T1	31
FUN_003673-T1	31
FUN_000928-T1	31
FUN_012958-T1	31
FUN_001705-T1	31
FUN_010247-T1	31
FUN_013267-T1	31
FUN_013344-T1	31
FUN_007608-T1	31
FUN_001665-T1	31
FUN_010156-T1	31
FUN_003920-T1	31
FUN_020228-T1	31
FUN_003895-T1	31
FUN_017529-T1	31
FUN_006098-T1	31
FUN_021351-T1	31
FUN_002225-T1	31
FUN_018099-T1	31
FUN_005398-T1	31
FUN_014743-T1	31
FUN_001214-T1	31
FUN_021536-T1	31
FUN_000853-T1	31
FUN_012472-T1	31
FUN_001983-T1	31
FUN_005845-T1	30
FUN_000029-T1	30
FUN_018022-T1	30
FUN_020888-T1	30
FUN_017829-T1	30
FUN_000967-T1	30
FUN_013065-T1	30
FUN_000445-T1	30
FUN_001831-T1	30
FUN_003057-T1	30
FUN_001694-T1	30
FUN_018573-T1	30
FUN_015330-T1	30
FUN_000518-T1	30
FUN_005927-T1	30
FUN_020950-T1	30
FUN_018592-T1	30
FUN_003542-T1	30
FUN_018753-T1	30
FUN_016783-T1	30
FUN_018806-T1	30
FUN_002942-T1	30
FUN_019284-T1	30
FUN_018549-T1	30
FUN_010960-T1	30
FUN_000763-T1	30
FUN_020095-T1	30
FUN_009922-T1	30
FUN_018300-T1	30
FUN_020280-T1	30
FUN_012954-T1	30
FUN_019588-T1	30
FUN_007155-T1	30
FUN_018631-T1	30
FUN_000789-T1	30
FUN_020595-T1	30
FUN_004414-T1	30
FUN_019123-T1	30
FUN_001103-T1	30
FUN_019058-T1	30
FUN_008952-T1	30
FUN_002607-T1	30
FUN_006416-T1	30
FUN_016534-T1	30
FUN_002622-T1	30
FUN_010494-T1	30
FUN_003192-T1	30
FUN_007199-T1	30
FUN_014848-T1	30
FUN_002709-T1	30
FUN_016228-T1	30
FUN_019062-T1	30
FUN_003225-T1	30
FUN_017655-T1	30
FUN_021406-T1	30
FUN_017677-T1	30
FUN_018738-T1	30
FUN_009462-T1	30
FUN_005285-T1	30
FUN_008374-T1	30
FUN_003479-T1	30
FUN_013384-T1	30
FUN_001585-T1	30
FUN_001344-T1	30
FUN_000896-T1	30
FUN_004561-T1	30
FUN_017713-T1	30
FUN_021395-T1	30
FUN_001912-T1	29
FUN_002299-T1	29
FUN_003929-T1	29
FUN_004480-T1	29
FUN_010209-T1	29
FUN_001652-T1	29
FUN_021371-T1	29
FUN_020771-T1	29
FUN_017998-T1	29
FUN_017541-T1	29
FUN_017520-T1	29
FUN_002231-T1	29
FUN_002006-T1	29
FUN_008003-T1	29
FUN_020377-T1	29
FUN_000169-T1	29
FUN_003657-T1	29
FUN_015285-T1	29
FUN_002133-T1	29
FUN_000023-T1	29
FUN_003948-T1	29
FUN_019304-T1	29
FUN_019303-T1	29
FUN_019500-T1	29
FUN_017459-T1	29
FUN_017089-T1	29
FUN_000762-T1	29
FUN_018559-T1	29
FUN_015478-T1	29
FUN_007193-T1	29
FUN_000182-T1	29
FUN_000687-T1	29
FUN_010252-T1	29
FUN_000613-T1	29
FUN_000368-T1	29
FUN_000556-T1	29
FUN_003491-T1	29
FUN_004368-T1	29
FUN_013661-T1	29
FUN_019717-T1	29
FUN_016679-T1	29
FUN_002234-T1	29
FUN_001008-T1	29
FUN_019748-T1	29
FUN_004265-T1	29
FUN_000658-T1	29
FUN_004258-T1	29
FUN_002460-T1	29
FUN_016920-T1	29
FUN_007532-T1	29
FUN_021134-T1	29
FUN_019234-T1	29
FUN_000695-T1	29
FUN_002346-T1	29
FUN_004423-T1	29
FUN_020604-T1	29
FUN_006054-T1	29
FUN_012173-T1	29
FUN_017642-T1	29
FUN_006057-T1	29
FUN_012721-T1	29
FUN_001761-T1	29
FUN_003737-T1	29
FUN_003844-T1	29
FUN_003809-T1	29
FUN_000735-T1	29
FUN_000724-T1	29
FUN_011379-T1	29
FUN_007378-T1	29
FUN_014203-T1	29
FUN_013647-T1	29
FUN_010598-T1	29
FUN_011484-T1	29
FUN_016573-T1	29
FUN_016563-T1	29
FUN_016397-T1	29
FUN_006608-T1	29
FUN_016201-T1	29
FUN_013880-T1	29
FUN_001102-T1	29
FUN_006555-T1	29
FUN_003408-T1	29
FUN_018981-T1	29
FUN_001443-T1	29
FUN_002827-T1	29
FUN_000190-T1	29
FUN_004199-T1	29
FUN_000716-T1	29
FUN_003228-T1	29
FUN_021488-T1	29
FUN_017816-T1	29
FUN_008715-T1	29
FUN_011245-T1	29
FUN_014797-T1	29
FUN_018123-T1	29
FUN_001887-T1	29
FUN_000439-T1	29
FUN_012433-T1	28
FUN_003785-T1	28
FUN_012411-T1	28
FUN_020113-T1	28
FUN_019429-T1	28
FUN_004866-T1	28
FUN_004175-T1	28
FUN_012574-T1	28
FUN_004941-T1	28
FUN_015190-T1	28
FUN_001276-T1	28
FUN_019386-T1	28
FUN_014986-T1	28
FUN_003137-T1	28
FUN_018095-T1	28
FUN_018082-T1	28
FUN_002660-T1	28
FUN_003391-T1	28
FUN_019710-T1	28
FUN_008834-T1	28
FUN_020971-T1	28
FUN_016296-T1	28
FUN_016208-T1	28
FUN_016202-T1	28
FUN_000602-T1	28
FUN_020529-T1	28
FUN_016108-T1	28
FUN_012665-T1	28
FUN_016551-T1	28
FUN_002625-T1	28
FUN_019738-T1	28
FUN_010522-T1	28
FUN_004366-T1	28
FUN_018944-T1	28
FUN_016377-T1	28
FUN_020290-T1	28
FUN_009447-T1	28
FUN_001750-T1	28
FUN_018294-T1	28
FUN_004490-T1	28
FUN_020176-T1	28
FUN_012168-T1	28
FUN_012163-T1	28
FUN_014147-T1	28
FUN_001769-T1	28
FUN_009555-T1	28
FUN_016692-T1	28
FUN_002555-T1	28
FUN_016614-T1	28
FUN_001520-T1	28
FUN_016603-T1	28
FUN_019765-T1	28
FUN_006289-T1	28
FUN_019847-T1	28
FUN_016781-T1	28
FUN_002490-T1	28
FUN_004295-T1	28
FUN_004291-T1	28
FUN_001335-T1	28
FUN_005154-T1	28
FUN_006778-T1	28
FUN_007527-T1	28
FUN_000617-T1	28
FUN_015500-T1	28
FUN_019834-T1	28
FUN_007743-T1	28
FUN_020815-T1	28
FUN_001710-T1	28
FUN_018551-T1	28
FUN_000936-T1	28
FUN_000653-T1	28
FUN_002972-T1	28
FUN_003036-T1	28
FUN_007183-T1	28
FUN_001639-T1	28
FUN_013322-T1	28
FUN_000982-T1	28
FUN_002380-T1	28
FUN_018686-T1	28
FUN_017029-T1	28
FUN_018725-T1	28
FUN_007956-T1	28
FUN_002282-T1	28
FUN_018610-T1	28
FUN_013044-T1	28
FUN_004465-T1	28
FUN_000510-T1	28
FUN_001666-T1	28
FUN_001928-T1	28
FUN_004497-T1	28
FUN_006173-T1	28
FUN_019512-T1	28
FUN_015270-T1	28
FUN_018151-T1	28
FUN_004712-T1	28
FUN_009241-T1	28
FUN_001873-T1	28
FUN_018063-T1	28
FUN_005777-T1	28
FUN_005564-T1	28
FUN_005716-T1	28
FUN_005726-T1	27
FUN_018021-T1	27
FUN_008742-T1	27
FUN_001209-T1	27
FUN_005115-T1	27
FUN_000194-T1	27
FUN_001821-T1	27
FUN_008088-T1	27
FUN_002146-T1	27
FUN_021397-T1	27
FUN_017718-T1	27
FUN_003803-T1	27
FUN_020863-T1	27
FUN_002171-T1	27
FUN_017672-T1	27
FUN_009996-T1	27
FUN_003876-T1	27
FUN_020843-T1	27
FUN_001703-T1	27
FUN_014980-T1	27
FUN_014826-T1	27
FUN_003163-T1	27
FUN_011251-T1	27
FUN_009148-T1	27
FUN_006094-T1	27
FUN_000813-T1	27
FUN_012073-T1	27
FUN_018569-T1	27
FUN_017514-T1	27
FUN_001676-T1	27
FUN_017340-T1	27
FUN_003579-T1	27
FUN_020741-T1	27
FUN_004447-T1	27
FUN_001246-T1	27
FUN_003245-T1	27
FUN_003112-T1	27
FUN_001646-T1	27
FUN_001638-T1	27
FUN_003558-T1	27
FUN_003592-T1	27
FUN_006393-T1	27
FUN_003934-T1	27
FUN_018734-T1	27
FUN_001569-T1	27
FUN_018771-T1	27
FUN_001559-T1	27
FUN_000551-T1	27
FUN_004388-T1	27
FUN_001545-T1	27
FUN_001533-T1	27
FUN_002544-T1	27
FUN_000676-T1	27
FUN_020409-T1	27
FUN_004197-T1	27
FUN_000664-T1	27
FUN_002588-T1	27
FUN_013704-T1	27
FUN_003461-T1	27
FUN_001021-T1	27
FUN_002610-T1	27
FUN_002628-T1	27
FUN_011677-T1	27
FUN_003429-T1	27
FUN_001496-T1	27
FUN_019707-T1	27
FUN_000708-T1	27
FUN_004149-T1	27
FUN_014628-T1	27
FUN_014610-T1	27
FUN_002702-T1	27
FUN_016280-T1	27
FUN_001427-T1	27
FUN_002754-T1	27
FUN_003354-T1	27
FUN_003367-T1	27
FUN_003356-T1	27
FUN_000608-T1	27
FUN_000601-T1	27
FUN_007390-T1	27
FUN_015800-T1	27
FUN_002866-T1	27
FUN_001129-T1	27
FUN_001345-T1	27
FUN_000642-T1	27
FUN_004268-T1	27
FUN_000310-T1	27
FUN_019270-T1	27
FUN_020429-T1	27
FUN_001145-T1	27
FUN_000425-T1	27
FUN_018040-T1	27
FUN_017957-T1	27
FUN_003765-T1	27
FUN_005374-T1	27
FUN_018000-T1	27
FUN_007325-T1	26
FUN_005810-T1	26
FUN_014347-T1	26
FUN_018023-T1	26
FUN_000437-T1	26
FUN_001970-T1	26
FUN_008080-T1	26
FUN_000356-T1	26
FUN_021071-T1	26
FUN_001796-T1	26
FUN_002137-T1	26
FUN_021384-T1	26
FUN_018250-T1	26
FUN_018249-T1	26
FUN_003816-T1	26
FUN_003863-T1	26
FUN_017701-T1	26
FUN_017668-T1	26
FUN_004522-T1	26
FUN_015521-T1	26
FUN_011106-T1	26
FUN_012706-T1	26
FUN_020827-T1	26
FUN_018306-T1	26
FUN_001225-T1	26
FUN_011252-T1	26
FUN_003848-T1	26
FUN_009155-T1	26
FUN_009057-T1	26
FUN_006130-T1	26
