interpro_acc	interpro_desc	hit_rows	unique_proteins
IPR015422	Pyridoxal phosphate-dependent transferase, small domain	50	50
IPR022398	Peptidase S8, subtilisin, His-active site	49	49
IPR036691	Endonuclease/exonuclease/phosphatase superfamily	95	48
IPR000008	C2 domain	160	47
IPR036047	F-box-like domain superfamily	47	47
IPR001757	P-type ATPase	85	46
IPR011701	Major facilitator superfamily	48	46
IPR036396	Cytochrome P450 superfamily	95	45
IPR001849	Pleckstrin homology domain	84	45
IPR023299	P-type ATPase, cytoplasmic domain N	83	45
IPR004813	Oligopeptide transporter, OPT superfamily	81	45
IPR020846	Major facilitator superfamily domain	45	44
IPR001394	Peptidase C19, ubiquitin carboxyl-terminal hydrolase	44	44
IPR001623	DnaJ domain	290	43
IPR002347	Short-chain dehydrogenase/reductase SDR	287	43
IPR001452	SH3 domain	177	43
IPR016181	Acyl-CoA N-acyltransferase	45	43
IPR020568	Ribosomal protein uS5 domain 2-type superfamily	45	43
IPR008250	P-type ATPase, A domain superfamily	43	43
IPR046341	SET domain superfamily	73	42
IPR059000	P-type ATPase, A domain	43	42
IPR026082	ABC transporter A	42	42
IPR028889	Ubiquitin specific protease UPS, catalytic domain	42	42
IPR001752	Kinesin motor domain	208	41
IPR001128	Cytochrome P450	150	41
IPR016135	Ubiquitin-conjugating enzyme/RWD-like	85	41
IPR039261	Ferredoxin-NADP reductase (FNR), nucleotide-binding domain	79	41
IPR029071	Ubiquitin-like domain superfamily	43	41
IPR004648	Tetrapeptide transporter, OPT1/isp4	40	40
IPR013783	Immunoglobulin-like fold	112	39
IPR001810	F-box domain	68	39
IPR029055	Nucleophile aminohydrolases, N-terminal	71	38
IPR009000	Translation protein, beta-barrel domain superfamily	38	38
IPR029021	Protein-tyrosine phosphatase-like	81	37
IPR011333	SKP1/BTB/POZ domain superfamily	70	37
IPR027267	AH/BAR domain superfamily	64	37
IPR017938	Riboflavin synthase-like beta-barrel	39	37
IPR018303	P-type ATPase, phosphorylation site	37	37
IPR001806	Small GTPase	88	35
IPR009057	Homedomain-like superfamily	39	35
IPR000330	SNF2, N-terminal	38	35
IPR010259	Peptidase S8 propeptide/proteinase inhibitor I9	35	35
IPR034193	Proteinase K-like catalytic domain	35	35
IPR004835	Chitin synthase	34	34
IPR000014	PAS domain	129	33
IPR015915	Kelch-type beta-propeller	77	33
IPR035969	Rab-GAP-TBC domain superfamily	46	33
IPR043502	DNA/RNA polymerase superfamily	34	33
IPR004843	Calcineurin-like, phosphoesterase domain	33	33
IPR017853	Glycoside hydrolase superfamily	33	33
IPR017927	FAD-binding domain, ferredoxin reductase-type	33	33
IPR018200	Ubiquitin specific protease, conserved site	42	32
IPR003960	ATPase, AAA-type, conserved site	34	32
IPR013126	Heat shock protein 70 family	51	31
IPR018490	Cyclic nucleotide-binding domain superfamily	39	31
IPR035965	PAS domain superfamily	37	31
IPR038718	SNF2-like, N-terminal domain superfamily	32	31
IPR027640	Kinesin-like protein	31	31
IPR000595	Cyclic nucleotide-binding domain	111	30
IPR005821	Ion transport domain	39	30
IPR013320	Concanavalin A-like lectin/glucanase domain superfamily	30	30
IPR014014	RNA helicase, DEAD-box type, Q motif	30	30
IPR017907	Zinc finger, RING-type, conserved site	30	30
IPR000195	Rab-GAP-TBC domain	69	29
IPR000182	GNAT domain	58	29
IPR002156	Ribonuclease H domain	47	29
IPR011011	Zinc finger, FYVE/PHD-type	33	29
IPR000608	Ubiquitin-conjugating (UBC), catalytic core domain	54	28
IPR029045	ClpP/crotonase-like domain superfamily	32	28
IPR042099	ANL, N-terminal domain	30	28
IPR009100	Acyl-CoA dehydrogenase/oxidase, N-terminal and middle domain superfamily	28	28
IPR036282	Glutathione S-transferase, C-terminal domain superfamily	28	28
IPR037045	Peptidase S8 propeptide/proteinase inhibitor I9 superfamily	28	28
IPR050452	Metacaspase	28	28
IPR009072	Histone-fold	49	27
IPR036400	Cytochrome b5-like heme/steroid binding domain superfamily	49	27
IPR002921	Fungal lipase-type domain	29	27
IPR000629	ATP-dependent RNA helicase DEAD-box, conserved site	27	27
IPR004839	Aminotransferase, class I/classII, large domain	27	27
IPR000795	Translational (tr)-type GTP-binding domain	138	26
IPR003591	Leucine-rich repeat, typical subtype	122	26
IPR036420	BRCT domain superfamily	78	26
IPR001214	SET domain	61	26
IPR036866	Ribonuclease Z/Hydroxyacylglutathione hydrolase-like	46	26
IPR036250	Acyl-CoA dehydrogenase-like, C-terminal	33	26
IPR041569	AAA ATPase, AAA+ lid domain	30	26
IPR000873	AMP-dependent synthetase/ligase domain	28	26
IPR002423	Chaperonin Cpn60/GroEL/TCP-1 family	26	26
IPR002455	GPCR family 3, GABA-B receptor	26	26
IPR014721	Small ribosomal subunit protein uS5 domain 2-type fold, subgroup	26	26
IPR043136	B30.2/SPRY domain superfamily	26	26
IPR000219	Dbl homology domain	63	25
IPR046342	CBS domain superfamily	59	25
IPR029787	Nucleotide cyclase	57	25
IPR036890	Histidine kinase/HSP90-like ATPase superfamily	53	25
IPR036465	von Willebrand factor A-like domain superfamily	51	25
IPR035899	Dbl homology (DH) domain superfamily	50	25
IPR013766	Thioredoxin domain	39	25
IPR036915	Cyclin-like superfamily	34	25
IPR018253	DnaJ domain, conserved site	25	25
IPR019821	Kinesin motor domain, conserved site	25	25
IPR046373	Acyl-CoA oxidase/dehydrogenase, middle domain superfamily	25	25
IPR002227	Tyrosinase copper-binding domain	96	24
IPR001199	Cytochrome b5-like heme/steroid binding domain	78	24
IPR008922	Di-copper centre-containing domain superfamily	53	24
IPR008936	Rho GTPase activation protein	50	24
IPR000073	Alpha/beta hydrolase fold-1	35	24
IPR009060	UBA-like superfamily	28	24
IPR016197	Chromo-like domain superfamily	28	24
IPR001245	Serine-threonine/tyrosine-protein kinase, catalytic domain	27	24
IPR023753	FAD/NAD(P)-binding domain	27	24
IPR011012	Longin-like domain superfamily	25	24
IPR049730	SNF2/RAD5-like, C-terminal helicase domain	25	24
IPR001375	Peptidase S9, prolyl oligopeptidase, catalytic domain	24	24
IPR006195	Aminoacyl-tRNA synthetase, class II	24	24
IPR011600	Peptidase C14, caspase domain	24	24
IPR016161	Aldehyde/histidinol dehydrogenase	24	24
IPR046539	Domain of unknown function DUF6604	24	24
IPR006597	Sel1-like repeat	168	23
IPR002401	Cytochrome P450, E-class, group I	101	23
IPR001357	BRCT domain	64	23
IPR016039	Thiolase-like	50	23
IPR011042	Six-bladed beta-propeller, TolB-like	24	23
IPR013525	ABC-2 type transporter, transmembrane domain	24	23
IPR017972	Cytochrome P450, conserved site	24	23
IPR001353	Proteasome, subunit alpha/beta	23	23
IPR050164	Ubiquitin carboxyl-terminal hydrolases	23	23
IPR000217	Tubulin	99	22
IPR000644	CBS domain	98	22
IPR036612	K Homology domain, type 1 superfamily	73	22
IPR000626	Ubiquitin-like domain	53	22
IPR029000	Cyclophilin-like domain superfamily	44	22
IPR004014	Cation-transporting P-type ATPase, N-terminal	40	22
IPR037185	Multidrug transporter EmrE superfamily	27	22
IPR027268	Peptidase M4/M1, CTD superfamily	23	22
IPR035699	Dynein heavy chain, hydrolytic ATP-binding dynein motor region	23	22
IPR035706	Dynein heavy chain, ATP-binding dynein motor region	23	22
IPR010920	LSM domain superfamily	22	22
IPR013602	Dynein heavy chain, linker	22	22
IPR002067	Mitochondrial carrier protein	92	21
IPR001054	Adenylyl cyclase class-3/4/guanylyl cyclase	88	21
IPR001609	Myosin head, motor domain-like	71	21
IPR017998	Chaperone tailless complex polypeptide 1 (TCP-1)	64	21
IPR000210	BTB/POZ domain	44	21
IPR036525	Tubulin/FtsZ, GTPase domain superfamily	40	21
IPR011249	Metalloenzyme, LuxS/M16 peptidase-like	32	21
IPR001965	Zinc finger, PHD-type	27	21
IPR029061	Thiamin diphosphate-binding fold	25	21
IPR001828	Receptor, ligand binding region	23	21
IPR035985	Ubiquitin-activating enzyme-like	23	21
IPR011006	CheY-like superfamily	22	21
IPR002293	Amino acid/polyamine transporter I	21	21
IPR010987	Glutathione S-transferase, C-terminal-like	21	21
IPR044492	P-type ATPase, haloacid dehalogenase domain	21	21
IPR000337	GPCR, family 3	71	20
IPR000571	Zinc finger, CCCH-type	71	20
IPR015940	Ubiquitin-associated domain	64	20
IPR006073	GTP binding domain	57	20
IPR029057	Phosphoribosyltransferase-like	54	20
IPR001789	Signal transduction response regulator, receiver domain	50	20
IPR000953	Chromo/chromo shadow domain	42	20
IPR027413	GroEL-like equatorial domain superfamily	40	20
IPR001163	Sm domain, eukaryotic/archaea-type	36	20
IPR004045	Glutathione S-transferase, N-terminal	33	20
IPR041228	Dynein heavy chain, C-terminal domain	21	20
IPR000387	Tyrosine-specific protein phosphatases domain	20	20
IPR015590	Aldehyde dehydrogenase domain	20	20
IPR044726	ABC transporter C family, six-transmembrane helical domain 2	20	20
IPR050316	Tyrosinase and Hemocyanin	20	20
IPR052981	Ingression C2 domain-containing protein	20	20
IPR002130	Cyclophilin-type peptidyl-prolyl cis-trans isomerase domain	111	19
IPR006179	5'-Nucleotidase/apyrase	90	19
IPR001005	SANT/Myb domain	65	19
IPR000569	HECT domain	52	19
IPR001763	Rhodanese-like domain	48	19
IPR004274	FCP1 homology domain	47	19
IPR036872	CH domain superfamily	42	19
IPR000253	Forkhead-associated (FHA) domain	41	19
IPR017850	Alkaline-phosphatase-like, core domain superfamily	36	19
IPR008978	HSP20-like chaperone	35	19
IPR005828	Major facilitator, sugar transporter-like	24	19
IPR024743	Dynein heavy chain, coiled coil stalk	20	19
IPR042228	Dynein heavy chain, linker, subdomain 3	20	19
IPR005135	Endonuclease/exonuclease/phosphatase	19	19
IPR035983	HECT, E3 ligase catalytic domain	19	19
IPR050121	Cytochrome P450 monooxygenase	19	19
IPR057352	TmcB/TmcC, TPR repeats	19	19
IPR000679	Zinc finger, GATA-type	70	18
IPR000717	Proteasome component (PCI) domain	37	18
IPR001878	Zinc finger, CCHC-type	37	18
IPR027409	GroEL-like apical domain superfamily	35	18
IPR000836	Phosphoribosyltransferase domain	27	18
IPR029006	ADF-H/Gelsolin-like domain superfamily	25	18
IPR027359	Voltage-dependent channel domain superfamily	22	18
IPR012341	Six-hairpin glycosidase-like superfamily	20	18
IPR013088	Zinc finger, NHR/GATA-type	20	18
IPR038607	PhoD-like superfamily	20	18
IPR015712	DNA-directed RNA polymerase, subunit 2	19	18
IPR001870	B30.2/SPRY domain	18	18
IPR011032	GroES-like superfamily	18	18
IPR011047	Quinoprotein alcohol dehydrogenase-like superfamily	18	18
IPR011051	RmlC-like cupin domain superfamily	18	18
IPR011761	ATP-grasp fold	18	18
IPR013594	Dynein heavy chain, tail	18	18
IPR016162	Aldehyde dehydrogenase, N-terminal	18	18
IPR024317	Dynein heavy chain, AAA module D4	18	18
IPR042222	Dynein heavy chain, domain 2, N-terminal	18	18
IPR043157	Dynein heavy chain, AAA1 domain, small subdomain	18	18
IPR006689	Small GTPase superfamily, ARF/SAR type	67	17
IPR036052	Tryptophan synthase beta chain-like, PALP domain superfamily	44	17
IPR005024	Snf7 family	33	17
IPR042097	Aminopeptidase N-like , N-terminal domain superfamliy	33	17
IPR003347	JmjC domain	31	17
IPR003877	SPRY domain	30	17
IPR000961	AGC-kinase, C-terminal	29	17
IPR021133	HEAT, type 2	28	17
IPR000477	Reverse transcriptase domain	23	17
IPR020904	Short-chain dehydrogenase/reductase, conserved site	19	17
IPR006544	P-type ATPase, subfamily V	18	17
IPR014756	Immunoglobulin E-set	18	17
IPR041658	Dynein heavy chain AAA lid domain	18	17
IPR042219	Dynein heavy chain AAA lid domain superfamily	18	17
IPR043160	Dynein heavy chain, C-terminal domain, barrel region	18	17
IPR006068	Cation-transporting P-type ATPase, C-terminal	17	17
IPR006091	Acyl-CoA oxidase/dehydrogenase, middle domain	17	17
IPR008984	SMAD/FHA domain superfamily	17	17
IPR009075	Acyl-CoA dehydrogenase/oxidase, C-terminal	17	17
IPR016040	NAD(P)-binding domain	17	17
IPR016163	Aldehyde dehydrogenase, C-terminal	17	17
IPR032466	Metal-dependent hydrolase	17	17
IPR037518	MPN domain	17	17
IPR039421	Type 1 protein exporter	17	17
IPR050510	Cation transport ATPase (P-type)	17	17
IPR050628	SNF2/RAD54 Helicase and Transcription Factor	17	17
IPR001876	Zinc finger, RanBP2-type	131	16
IPR000834	Peptidase M14, carboxypeptidase A	93	16
IPR004000	Actin family	73	16
IPR004827	Basic-leucine zipper domain	51	16
IPR000198	Rho GTPase-activating protein domain	46	16
IPR000403	Phosphatidylinositol 3-/4-kinase, catalytic domain	46	16
IPR029033	Histidine phosphatase superfamily	35	16
IPR036873	Rhodanese-like domain superfamily	35	16
IPR036910	High mobility group box domain superfamily	34	16
IPR029062	Class I glutamine amidotransferase-like	33	16
IPR036907	5'-Nucleotidase, C-terminal domain superfamily	32	16
IPR000555	JAB1/MPN/MOV34 metalloenzyme domain	28	16
IPR004088	K Homology domain, type 1	28	16
IPR009836	Glycine-rich domain-containing protein-like	26	16
IPR018488	Cyclic nucleotide-binding, conserved site	21	16
IPR023780	Chromo domain	20	16
IPR002553	Clathrin/coatomer adaptor, adaptin-like, N-terminal	17	16
IPR008927	6-phosphogluconate dehydrogenase-like, C-terminal domain superfamily	17	16
IPR008948	L-Aspartase-like	17	16
IPR009003	Peptidase S1, PA clan	17	16
IPR037069	Acyl-CoA dehydrogenase/oxidase, N-terminal domain superfamily	17	16
IPR006016	UspA	16	16
IPR008280	Tubulin/FtsZ, C-terminal	16	16
IPR008334	5'-Nucleotidase, C-terminal	16	16
IPR013154	Alcohol dehydrogenase-like, N-terminal	16	16
IPR016185	Pre-ATP-grasp domain superfamily	16	16
IPR020103	Pseudouridine synthase, catalytic domain superfamily	16	16
IPR023578	Ras guanine nucleotide exchange factor domain superfamily	16	16
IPR036305	RGS domain superfamily	16	16
IPR047575	Sm domain	16	16
IPR050108	Cyclin-dependent kinase	16	16
IPR050168	AAA ATPase domain-containing protein	16	16
IPR050369	Respiratory burst oxidase/Ferric reductase	16	16
IPR050567	Mitochondrial Carrier	16	16
IPR006186	Serine/threonine-specific protein phosphatase/bis(5-nucleosyl)-tetraphosphatase	95	15
IPR003107	HAT (Half-A-TPR) repeat	70	15
IPR001932	PPM-type phosphatase-like domain	47	15
IPR035940	CAP superfamily	34	15
IPR029056	Ribokinase-like	32	15
IPR036457	PPM-type phosphatase-like domain superfamily	32	15
IPR036871	PX domain superfamily	30	15
IPR043519	Nucleotidyltransferase superfamily	28	15
IPR019410	Lysine methyltransferase	27	15
IPR007219	Xylanolytic transcriptional activator, regulatory domain	26	15
IPR031327	Mini-chromosome maintenance protein	26	15
IPR018946	PhoD-like phosphatase, metallophosphatase domain	25	15
IPR003008	Tubulin/FtsZ, GTPase domain	24	15
IPR014044	CAP domain	19	15
IPR004273	Dynein heavy chain region D6 P-loop domain	16	15
IPR015947	PUA-like superfamily	16	15
IPR016035	Acyl transferase/acyl hydrolase/lysophospholipase	16	15
IPR001433	Oxidoreductase FAD/NAD(P)-binding	15	15
IPR005123	Oxoglutarate/iron-dependent dioxygenase domain	15	15
IPR007863	Peptidase M16, C-terminal	15	15
IPR008979	Galactose-binding-like domain superfamily	15	15
IPR013121	Ferric reductase, NAD binding domain	15	15
IPR016130	Protein-tyrosine phosphatase, active site	15	15
IPR018957	Zinc finger, C3HC4 RING-type	15	15
IPR037171	NagB/RpiA transferase-like	15	15
IPR041466	Dynein heavy chain, AAA 5 extension domain	15	15
IPR044926	RGS, subdomain 2	15	15
IPR046347	Basic-leucine zipper domain superfamily	15	15
IPR050344	Peptidase M1 family aminopeptidases	15	15
IPR050866	Cyclic nucleotide-gated cation channel	15	15
IPR052994	Tiny macrocysts signaling regulators	15	15
IPR001487	Bromodomain	112	14
IPR001208	MCM domain	74	14
IPR036427	Bromodomain-like superfamily	52	14
IPR002020	Citrate synthase	42	14
IPR006015	Universal stress protein A family	37	14
IPR001683	Phox homology	32	14
IPR004087	K Homology domain	30	14
IPR005479	Carbamoyl phosphate synthase, ATP-binding domain	30	14
IPR002073	3'5'-cyclic nucleotide phosphodiesterase, catalytic domain	29	14
IPR029064	Ribosomal protein eL30-like superfamily	26	14
IPR024084	Isopropylmalate dehydrogenase-like domain	24	14
IPR036971	3'5'-cyclic nucleotide phosphodiesterase, catalytic domain superfamily	16	14
IPR011054	Rudiment single hybrid motif	15	14
IPR014722	Large ribosomal subunit protein uL2, domain 2	15	14
IPR036964	Ras guanine-nucleotide exchange factor, catalytic domain superfamily	15	14
IPR000594	THIF-type NAD/FAD binding fold	14	14
IPR001412	Aminoacyl-tRNA synthetase, class I, conserved site	14	14
IPR001509	NAD-dependent epimerase/dehydratase	14	14
IPR003137	PA domain	14	14
IPR004046	Glutathione S-transferase, C-terminal	14	14
IPR005804	Fatty acid desaturase domain	14	14
IPR008333	Flavoprotein pyridine nucleotide cytochrome reductase-like, FAD-binding domain	14	14
IPR008991	Translation protein SH3-like domain superfamily	14	14
IPR011330	Glycoside hydrolase/deacetylase, beta/alpha-barrel	14	14
IPR012675	Beta-grasp domain superfamily	14	14
IPR015797	NUDIX hydrolase-like domain superfamily	14	14
IPR020616	Thiolase, N-terminal	14	14
IPR024079	Metallopeptidase, catalytic domain superfamily	14	14
IPR029035	DHS-like NAD/FAD-binding domain superfamily	14	14
IPR029060	PIN-like domain superfamily	14	14
IPR036008	Aconitase, iron-sulfur domain	14	14
IPR036875	Zinc finger, CCHC-type superfamily	14	14
IPR040079	Glutathione transferase family	14	14
IPR041589	Dynein heavy chain 3, AAA+ lid domain	14	14
IPR044746	ABC transporter C family, six-transmembrane helical domain 1	14	14
IPR045090	Peptidase M3A/M3B	14	14
IPR045357	Aminopeptidase N-like , N-terminal domain	14	14
IPR050629	STE20/SPS1-related Proline-Alanine-rich Kinase	14	14
IPR050726	Metabotropic Glutamate Receptor	14	14
IPR058240	Radical SAM superfamily	14	14
IPR001030	Aconitase/3-isopropylmalate dehydratase large subunit, alpha/beta/alpha domain	58	13
IPR023088	3'5'-cyclic nucleotide phosphodiesterase	50	13
IPR006553	Leucine-rich repeat, cysteine-containing subtype	47	13
IPR000904	Sec7 domain	40	13
IPR001895	Ras guanine-nucleotide exchange factors catalytic domain	37	13
IPR009071	High mobility group box domain	37	13
IPR000727	Target SNARE coiled-coil homology domain	29	13
IPR008949	Isoprenoid synthase domain superfamily	28	13
IPR001223	Glycoside hydrolase family 18, catalytic domain	26	13
IPR013922	Cyclin PHO80-like	26	13
IPR036005	Creatinase/aminopeptidase-like	24	13
IPR000089	Biotin/lipoyl attachment	23	13
IPR011025	G protein alpha subunit, helical insertion	23	13
IPR019787	Zinc finger, PHD-finger	23	13
IPR027410	TCP-1-like chaperonin intermediate domain superfamily	21	13
IPR006594	LIS1 homology motif	19	13
IPR015931	Aconitase/3-isopropylmalate dehydratase large subunit, alpha/beta/alpha, subdomain 1/3	18	13
IPR003607	HD/PDEase domain	17	13
IPR012171	Fatty acid desaturase	17	13
IPR014752	Arrestin-like, C-terminal	17	13
IPR025659	Tubby-like, C-terminal	17	13
IPR043504	Peptidase S1, PA clan, chymotrypsin-like fold	17	13
IPR035999	Sec7 domain superfamily	15	13
IPR001753	Enoyl-CoA hydratase/isomerase	14	13
IPR014782	Peptidase M1, membrane alanine aminopeptidase	14	13
IPR036940	Phosphatidylinositol 3-/4-kinase, catalytic domain superfamily	14	13
IPR000192	Aminotransferase class V domain	13	13
IPR001834	NADH:cytochrome b5 reductase-like	13	13
IPR006740	Protein of unknown function DUF604	13	13
IPR008937	Ras-like guanine nucleotide exchange factor	13	13
IPR009053	Prefoldin	13	13
IPR010435	C5a peptidase/Subtilisin-like protease SBT2-like, Fn3-like domain	13	13
IPR011053	Single hybrid motif	13	13
IPR013149	Alcohol dehydrogenase-like, C-terminal	13	13
IPR020843	Enoylreductase domain	13	13
IPR029030	Caspase-like domain superfamily	13	13
IPR039551	Choline/carnitine acyltransferase domain	13	13
IPR045028	Helicase superfamily 1/2, DinG/Rad3-like	13	13
IPR045851	AMP-binding enzyme, C-terminal domain superfamily	13	13
IPR050352	ATP-binding cassette subfamily G transporters	13	13
IPR051218	Secreted Mono/Diacylglycerol Lipase	13	13
IPR051425	Formin Homology	13	13
IPR051681	Serine/Threonine Kinases and Pseudokinases	13	13
IPR001019	Guanine nucleotide binding protein (G-protein), alpha subunit	108	12
IPR000225	Armadillo	93	12
IPR001202	WW domain	53	12
IPR001715	Calponin homology domain	48	12
IPR001356	Homeodomain	44	12
IPR006603	PQ-loop repeat	36	12
IPR007197	Radical SAM	31	12
IPR002509	NodB homology domain	24	12
IPR000648	Oxysterol-binding protein	23	12
IPR013761	Sterile alpha motif/pointed domain superfamily	21	12
IPR008971	HSP40/DnaJ peptide-binding	20	12
IPR023333	Proteasome B-type subunit	20	12
IPR018316	Tubulin/FtsZ, 2-layer sandwich domain	19	12
IPR035587	DUS-like, FMN-binding domain	19	12
IPR045865	ACT-like domain	19	12
IPR007052	CS domain	18	12
IPR018936	Phosphatidylinositol 3-/4-kinase, conserved site	18	12
IPR000542	Acyltransferase ChoActase/COT/CPT	15	12
IPR008928	Six-hairpin glycosidase superfamily	14	12
IPR016193	Cytidine deaminase-like	14	12
IPR023394	Sec7, C-terminal domain superfamily	14	12
IPR029069	HotDog domain superfamily	14	12
IPR004364	Aminoacyl-tRNA synthetase, class II (D/K/N)	13	12
IPR036969	Citrate synthase superfamily	13	12
IPR001567	Peptidase M3A/M3B catalytic domain	12	12
IPR001926	Tryptophan synthase beta chain-like, PALP domain	12	12
IPR006671	Cyclin, N-terminal	12	12
IPR007125	Core Histone H2A/H2B/H3 domain	12	12
IPR007259	Gamma-tubulin complex component protein	12	12
IPR011764	Biotin carboxylation domain	12	12
IPR013815	ATP-grasp fold, subdomain 1	12	12
IPR017926	Glutamine amidotransferase	12	12
IPR020845	AMP-binding, conserved site	12	12
IPR023313	Ubiquitin-conjugating enzyme, active site	12	12
IPR024156	Small GTPase superfamily, ARF type	12	12
IPR032630	P-type ATPase, C-terminal	12	12
IPR037103	Tubulin/FtsZ-like, C-terminal domain	12	12
IPR037239	Oxysterol-binding protein superfamily	12	12
IPR045886	ThiF/MoeB/HesA family	12	12
IPR050079	DEAD box RNA helicase	12	12
IPR050087	8-amino-7-oxononanoate synthase class-II	12	12
IPR050221	26S Proteasome Regulatory ATPase	12	12
IPR050302	Rab GTPase-activating TBC domain-containing protein	12	12
IPR050687	Dynein Intermediate Chain	12	12
IPR050830	Fungal fatty acid synthase	12	12
IPR052187	Lysosomal dipeptide transporter MFSD1	12	12
IPR000048	IQ motif, EF-hand binding site	49	11
IPR036443	Zinc finger, RanBP2-type superfamily	27	11
IPR007603	Choline transporter-like	22	11
IPR030379	Septin-type guanine nucleotide-binding (G) domain	22	11
IPR036812	NAD(P)-dependent oxidoreductase domain superfamily	22	11
IPR004331	SPX domain	21	11
IPR027469	Cation efflux transmembrane domain superfamily	21	11
IPR002123	Phospholipid/glycerol acyltransferase	20	11
IPR021476	Egh16-like virulence factor	20	11
IPR035647	EF-G domain III/V-like	20	11
IPR002013	SAC domain	19	11
IPR008942	ENTH/VHS	19	11
IPR012258	Acyl-CoA oxidase	18	11
IPR006089	Acyl-CoA dehydrogenase, conserved site	17	11
IPR029070	Chitinase insertion domain superfamily	17	11
IPR011704	ATPase, dynein-related, AAA domain	15	11
IPR011060	Ribulose-phosphate binding barrel	14	11
IPR022775	AP complex, mu/sigma subunit	14	11
IPR004499	Proline-tRNA ligase, class IIa, archaeal-type	13	11
IPR013328	6-phosphogluconate dehydrogenase, domain 2	13	11
